Name,Review,Star,Helpful,Problem
A***n,barang tidak sesuai pesanan minta produk untuk iphone 7 malah di kasih untuk produk lain.,1,0,gada
R***d,bagus,5,0,gada
Maulana,Sesuai ekspetasi,4,0,gada
albert,"Ya barang stok lama sih. Selain kotor, packaging ya seadanya banget",1,0,gada
Sintia,Bagus banget casenya,5,0,gada
F***z,Barang biasa aja cuma rada tebal tapi ya okelah sesuai harga..,3,0,gada
Y,Bagus barangnya dan cepat pengirimannya,5,0,gada
kelfin,bagus bangett real pict,5,0,gada
Antoni,Mayan juga barangnya,5,0,gada
Akhmad,sangat lumayan untuk harganya. case nya pas. makasih.,5,0,gada
Dina,"Produk bagus, pengiriman cepat, harga murah",5,0,gada
E***Y,"Pengiriman cepat , kualitas original , harga terjangkau, sesuai pesanan, sesuai gambar, terima kasih",5,0,gada
Nurul,Mantapp,5,0,gada
Jessica,Favorit deh casing ini krn enak ada tor kartunya di blakang,5,0,gada
Ruth,Bagus.,4,0,gada
Evi,bagus Terima kasih,5,0,gada
A***u,Good. Sesuai❤️,5,0,gada
P***k,Bagus cpt datangnya seller rama thanks,5,0,gada
Abc,gada,5,0,gada
Andris,Mantap bang bagus bgt 😊🙏🏻,5,0,gada
fr,Bagus,4,0,gada
ananta,presisi,5,0,gada
I***a,gada,5,0,gada
Aldi,selalu puas,1,0,gada
Aditya,Jos banget,5,0,gada
SUGIYANTI,Luvvvv,5,0,gada
husnul,baguss,5,0,gada
dimas,Mantap & puas pelayanan,5,0,gada
Sohib,sesuai pesanan pengiriman cepat respon seller baik dan cepat tanggap,5,0,gada
Dao,Recomended seller... Pelayanan prima... Pengiriman Cepat.... Packing rapi.... Ditunggu juga penilaian positif nya....,5,0,gada
Maulana,Okee barangnya mantaapppp…,5,0,gada
H***n,Mantapp…,5,0,gada
D***A,Bagus dan sesuai pesanan,5,0,gada
Jihan,Sleek dan simpel. Shockproof case utk iPhone 7 ini semoga memberikan perlindungan ekstra.,5,0,gada
Leo,Kualitas barangnya sangat baik dan harga yg terjangkau,5,0,gada
A***a,Ajib dan termurah,5,0,gada
Ferdian,Yang datang uang 😃,4,0,gada
D***a,"Sesuai gambar, sangat memuaskan",5,0,gada
Tito,Cakep barangnya,5,0,gada
y***a,Barang memantul Memang mantap betul Bisa buat naro kartu tapi cuman atu,5,0,gada
R***y,barang diterima dengan baik,5,0,gada
daphnis,Barang bagus,5,0,gada
A***d,Bagus,4,0,gada
Yudith,"Kereen, jadi elegan lagi iphone 6 ku",5,0,gada
Rhyna,Adminnya baik banget.... kalau chat balesnya cepat.,5,0,gada
M***a,respon penjual fast,5,0,gada
S***h,"cocok bgt case ini buat iphone 7 saya. terutama kalo mau travelling, biar bisa selip ktp di blkg hape pas check in dibandara dan juga selip kartu hotel pas mau makan diluar. mantapp",5,0,gada
f***y,bagus bgtttt pengemasan juga pengiriman cepet bgtttt,5,0,gada
Maharani,"Barang sudah diterima lebih awal dr estimasi pengiriman Case overall ok, namun lubang camera kurang tepat dikit Tks",3,0,gada
Imron,Barang bagus🔥🔥🔥,5,0,gada
Astri,Pas banget dan baguuusss. Jadi ga khawatir ketinggalan kartu emoney lagi. Maaf ga ada fotonya soalnya barang langsung dipake hehe,5,0,gada
A***a,gada,5,0,gada
Yuliana,"casingnya bagus,bening dan pas di iphone. harganya jg murah. makasi seller",5,0,gada
Teddy,barang diterima dgn baik.pengiriman cepat,5,0,gada
Armytanti,Mantab banget. Barang cepet sampe. Kualitasnya bagus,5,0,gada
Octaria,bagusss sukaa💚💚💚,5,0,gada
J***n,Seller ramah,5,0,gada
A***s,"Diterima dengan baik, kualitas sesuai dengan harganya",5,0,gada
z***o,mantap,5,0,gada
F***r,"Proses pengirimannya cepet, respon chat adminnya juga cepet dan ramah, kualitas casenya bagus banget sih ini",5,0,gada
G***i,Casing nya enak digunakan nyaman dipegang. Recomended seller.,5,0,gada
Bagus,Barang bagus sesuai gambar dan kualiatas keren bgt,5,0,gada
J***a,"Kualitas barang cukup baik. Tipis, ringan, tapi cukup melindungi. Sebanding dengan harganya.",5,0,gada
D***i,"susah sampai. pengiriman cepat bgt, harga sesuai produk, suka banget terimakasih❤️",5,0,gada
F***a,Bagus,5,0,gada
M***d,Sesuai harga la,4,0,gada
I***h,mungkin aku yang terlalu berekspetasi😃 tapi barang sesuai dan tidak menipu,4,0,gada
M***M,Harga murah kualitas baguss bgt.. topp👍👍,5,0,gada
R***l,Cepet kuning,4,0,gada
Dak,Top recommended keren case nya walau murah tp ga murahan 👍🏻👍🏻👍🏻,5,0,gada
Andyka,Barang bagus dan murah semoga awet bos.,5,0,gada
Joseph,Bahan tebal dan dimasukan mudah sekali hpnya … yg jelas tokonya recommended bgt fast response dan langsung dikirim 2 hri sampe pake bebas ongkir posisi di smg,5,0,gada
Monet,Mantap,5,0,gada
Sulthan,Mantap.sesuai harga,5,0,gada
Hafizh,Best deal. Thanks,5,0,gada
a***t,"beli 5, yang dateng cuma 1. Semoga berkah terus ya jualan kaya gini.",1,2,gada
M***d,casenya bagus dan sesuai digambar . semoga awat dan tahan lama hehehe,5,0,gada
ronNeY,salah kirim.. mohon lbh teliti lg sblm kirim pesanan..,3,0,gada
M***a,Bagus2 bust ipon se gen 1,5,0,gada
ZIA,gada,5,0,gada
D***r,Ternyata terlalu tipis casingnya dan pocket tempat kartunya ternyata ga ada alas casingnya jdi kartunya nggesek langsung kebagian hp,4,2,gada
Junaedy,"pengiriman cepat, packing mantap, respon seller bagus, kualitas barang ok",5,0,gada
Merry,"Brgnya sih gak salah, tapi ukuran nya yang salah. Jadinya dibuang saja krn gak bisa dipakai. Tolong lain kali kalo dichat dibalas ya menunjukkan itikat baiknya",5,0,gada
Lukas,Okey👏,5,0,gada
R***i,sangat amat berfungsi thank you,5,0,gada
S***o,"Case bagus lah untuk harga segitu bahan tebal karet kaku, delivery lancar",5,0,gada
S***a,"👍🏻 barang sampai tepat wkt, kondisi mulus sesuai deskripsi",5,0,gada
Ismaniar,gada,5,0,gada
A***h,"ok bagussss,,",4,0,gada
Y***a,"barang bagus, sampai tepat waktu, terima kasih",5,0,gada
Maulana,"cepat menguning, ada harga ada kualitas",1,1,gada
Fimalian,"untuk ip warna putih cocok sekali, kerens",5,0,gada
ochieta,"Keren banget mantul banget, cepet bgt datengnya... baru semalem pesen, eh siangnya udah nyampe aja... semoga semua penjual pada gercep semua kayak gini saya suka saya suka",5,0,gada
N***a,Bagus murah,5,0,gada
j***r,Udh nanya d chat ini buat ip 7 kan. D jawab iaa. D kirim nya 7+ . D chat cmn d read doang. Pdhal klo di jwab stidaknya say sorry gk jd masalah 😪,1,1,gada
Edilee,gada,5,0,gada
M***i,pesen tgl 8 dikirim tgl 10 nyampenya tgl 11 pdhl deket bgt:),5,0,gada
Endang,Pas dengan HP.. sesuai deskripsi. Thx,5,0,gada
N***l,"ternyata bolong ya belakangnya, okelahh",5,0,gada
